time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 18:23:51.641,24179121055049,79,16169,2300,310260,24,-96,-12,2147483647,2147483647,2147483647
11-07 18:23:51.680,24179121055049,79,16169,2300,310260,24,-96,-12,2147483647,2147483647,2147483647
11-07 18:23:58.823,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:58.830,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:59.337,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:59.366,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:59.831,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:59.839,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:00.326,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:00.346,24179457970395,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:00.877,24181729002601,79,16169,2300,310260,22,-98,-9,2147483647,2147483647,2147483647
11-07 18:24:00.888,24181729002601,79,16169,2300,310260,22,-98,-9,2147483647,2147483647,2147483647
11-07 18:24:06.641,24182588386645,79,16169,2300,310260,22,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:06.675,24182588386645,79,16169,2300,310260,22,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:12.678,24182972132829,79,16169,2300,310260,23,-98,-9,2147483647,2147483647,2147483647
11-07 18:24:12.680,24182972132829,79,16169,2300,310260,23,-98,-9,2147483647,2147483647,2147483647
11-07 18:24:24.581,24183682715035,79,16169,2300,310260,22,-97,-8,2147483647,2147483647,2147483647
11-07 18:24:24.596,24183682715035,79,16169,2300,310260,22,-97,-8,2147483647,2147483647,2147483647
11-07 18:24:27.996,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:28.000,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:28.488,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:28.522,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:28.979,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:28.985,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:29.485,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:29.515,24184786661551,79,16169,2300,310260,22,-98,-7,2147483647,2147483647,2147483647
11-07 18:24:35.621,24187039790526,79,16169,2300,310260,22,-101,-10,2147483647,2147483647,2147483647
11-07 18:24:35.627,24187039790526,79,16169,2300,310260,22,-101,-10,2147483647,2147483647,2147483647
11-07 18:24:41.638,24187524590366,79,16169,2300,310260,21,-101,-8,2147483647,2147483647,2147483647
11-07 18:24:41.645,24187524590366,79,16169,2300,310260,21,-101,-8,2147483647,2147483647,2147483647
11-07 18:24:52.018,24188183112202,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:52.022,24188183112202,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:52.649,24188183112202,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:52.686,24188183112202,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:24:53.148,24188183112202,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
